file,region,subregion,cut,side,embryo,region
EM_33_cells_stats.csv,mesonephros,EM,33,N,2,3
EM_34_cells_stats.csv,mesonephros,EM,34,N,2,3
EM_35_cells_stats.csv,mesonephros,EM,35,N,2,3
EM_36_cells_stats.csv,mesonephros,EM,36,N,2,3
EM_37_cells_stats.csv,mesonephros,EM,37,N,2,3
EM_38_cells_stats.csv,mesonephros,EM,38,N,2,3
EM_39_cells_stats.csv,mesonephros,EM,39,N,2,3
EM_40_cells_stats.csv,mesonephros,EM,40,N,2,3
EM_41_cells_stats.csv,mesonephros,EM,41,N,2,3
ENS_53a_cells_stats.csv,mesonephros,ENS,53,a,3,1
ENS_53b_cells_stats.csv,mesonephros,ENS,53,b,3,1
ENS_54a_cells_stats.csv,mesonephros,ENS,54,a,3,1
ENS_54b_cells_stats.csv,mesonephros,ENS,54,b,3,1
ENS_55a_cells_stats.csv,mesonephros,ENS,55,a,3,1
ENS_55b_cells_stats.csv,mesonephros,ENS,55,b,3,1
ENS_56a_cells_stats.csv,mesonephros,ENS,56,a,3,1
ENS_56b_cells_stats.csv,mesonephros,ENS,56,b,3,1
ENS_57a_cells_stats.csv,mesonephros,ENS,57,a,3,1
ENS_57b_cells_stats.csv,mesonephros,ENS,57,b,3,1
ENS_58a_cells_stats.csv,mesonephros,ENS,58,a,3,1
ENS_58b_cells_stats.csv,mesonephros,ENS,58,b,3,1
ENS_59a_cells_stats.csv,mesonephros,ENS,59,a,3,1
ENS_59b_cells_stats.csv,mesonephros,ENS,59,b,3,1
ENS_60b_cells_stats.csv,mesonephros,ENS,60,b,3,1
IM_42a_cells_stats.csv,mesonephros,IM,42,a,2,1
IM_42b_cells_stats.csv,mesonephros,IM,42,b,2,1
IM_43a_cells_stats.csv,mesonephros,IM,43,a,2,1
IM_43b_cells_stats.csv,mesonephros,IM,43,b,2,1
IM_44a_cells_stats.csv,mesonephros,IM,44,a,2,1
IM_44b_cells_stats.csv,mesonephros,IM,44,b,2,1
IM_45a_cells_stats.csv,mesonephros,IM,45,a,2,1
IM_45b_cells_stats.csv,mesonephros,IM,45,b,2,1
IM_46a_cells_stats.csv,mesonephros,IM,46,a,2,1
IM_46b_cells_stats.csv,mesonephros,IM,46,b,2,1
IM_47a_cells_stats.csv,mesonephros,IM,47,a,2,1
IM_47b_cells_stats.csv,mesonephros,IM,47,b,2,1
IM_48a_cells_stats.csv,mesonephros,IM,48,a,2,1
IM_48b_cells_stats.csv,mesonephros,IM,48,b,2,1
IM_49a_cells_stats.csv,mesonephros,IM,49,a,2,1
IM_49b_cells_stats.csv,mesonephros,IM,49,b,2,1
IM_50b_cells_stats.csv,mesonephros,IM,50,b,2,1
IM_51a_cells_stats.csv,mesonephros,IM,51,a,2,1
IM_51b_cells_stats.csv,mesonephros,IM,51,b,2,1
LNBL_121_cells_stats.csv,mesonephros,LNBL,121,N,4,6
LNBL_122_cells_stats.csv,mesonephros,LNBL,122,N,4,6
LNBL_123_cells_stats.csv,mesonephros,LNBL,123,N,4,6
LNBL_124_cells_stats.csv,mesonephros,LNBL,124,N,4,6
LNBL_125_cells_stats.csv,mesonephros,LNBL,125,N,4,6
LNBL_126_cells_stats.csv,mesonephros,LNBL,126,N,4,6
LNBL_127_cells_stats.csv,mesonephros,LNBL,127,N,4,6
LNBR_121_cells_stats.csv,mesonephros,LNBR,121,N,4,6
LNBR_122_cells_stats.csv,mesonephros,LNBR,122,N,4,6
LNBR_123_cells_stats.csv,mesonephros,LNBR,123,N,4,6
LNBR_124_cells_stats.csv,mesonephros,LNBR,124,N,4,6
LNBR_125_cells_stats.csv,mesonephros,LNBR,125,N,4,6
LNBR_126_cells_stats.csv,mesonephros,LNBR,126,N,4,6
LNBR_127_cells_stats.csv,mesonephros,LNBR,127,N,4,6
LNS_63a_cells_stats.csv,mesonephros,LNS,63,a,3,1
LNS_63b_cells_stats.csv,mesonephros,LNS,63,b,3,1
LNS_64a_cells_stats.csv,mesonephros,LNS,64,a,3,1
LNS_64b_cells_stats.csv,mesonephros,LNS,64,b,3,1
LNS_65a_cells_stats.csv,mesonephros,LNS,65,a,3,1
LNS_65b_cells_stats.csv,mesonephros,LNS,65,b,3,1
LNS_66a_cells_stats.csv,mesonephros,LNS,66,a,3,1
LNS_66b_cells_stats.csv,mesonephros,LNS,66,b,3,1
LNS_67a_cells_stats.csv,mesonephros,LNS,67,a,3,1
LNS_67b_cells_stats.csv,mesonephros,LNS,67,b,3,1
LNS_68a_cells_stats.csv,mesonephros,LNS,68,a,3,1
LNS_68b_cells_stats.csv,mesonephros,LNS,68,b,3,1
LNS_69a_cells_stats.csv,mesonephros,LNS,69,a,3,1
LNS_69b_cells_stats.csv,mesonephros,LNS,69,b,3,1
LNS_70a_cells_stats.csv,mesonephros,LNS,70,a,3,1
LNS_70b_cells_stats.csv,mesonephros,LNS,70,b,3,1
LNS_71a_cells_stats.csv,mesonephros,LNS,71,a,3,1
LNS_71b_cells_stats.csv,mesonephros,LNS,71,b,3,1
LNS_72a_cells_stats.csv,mesonephros,LNS,72,a,3,1
LNS_72b_cells_stats.csv,mesonephros,LNS,72,b,3,1
LNS_73a_cells_stats.csv,mesonephros,LNS,73,a,3,1
LNS_73b_cells_stats.csv,mesonephros,LNS,73,b,3,1
LNS_74a_cells_stats.csv,mesonephros,LNS,74,a,3,1
LNS_74b_cells_stats.csv,mesonephros,LNS,74,b,3,1
LNS_75a_cells_stats.csv,mesonephros,LNS,75,a,3,1
LNS_75b_cells_stats.csv,mesonephros,LNS,75,b,3,1
LNS_77a_cells_stats.csv,mesonephros,LNS,77,a,3,4
LNS_77b_cells_stats.csv,mesonephros,LNS,77,b,3,4
LNTL_111_cells_stats.csv,mesonephros,LNTL,111,N,4,6
LNTL_112_cells_stats.csv,mesonephros,LNTL,112,N,4,6
LNTL_113_cells_stats.csv,mesonephros,LNTL,113,N,4,6
LNTL_114_cells_stats.csv,mesonephros,LNTL,114,N,4,6
LNTL_115_cells_stats.csv,mesonephros,LNTL,115,N,4,6
LNTL_116_cells_stats.csv,mesonephros,LNTL,116,N,4,6
LNTL_117_cells_stats.csv,mesonephros,LNTL,117,N,4,6
LNTR_111_cells_stats.csv,mesonephros,LNTR,111,N,4,6
LNTR_112_cells_stats.csv,mesonephros,LNTR,112,N,4,6
LNTR_113_cells_stats.csv,mesonephros,LNTR,113,N,4,6
LNTR_114_cells_stats.csv,mesonephros,LNTR,114,N,4,6
LNTR_115_cells_stats.csv,mesonephros,LNTR,115,N,4,6
LNTR_116_cells_stats.csv,mesonephros,LNTR,116,N,4,6
LNTR_117_cells_stats.csv,mesonephros,LNTR,117,N,4,6
